id,loan_amnt,term,interest_rate,grade,employment_length,purpose,credit_score,application_type,loan_status
31,3371.248263,5 years,14.35784547,C3,10 years,credit_card,668.5714598,Joint App,0
32,1157.122985,3 years,14.56576897,C4,6 years,credit_card,679.6749456,Joint App,0
33,1153.693699,3 years,23.61739408,D5,6 years,credit_card,658.4969531,Individual,0
34,1142.61222,3 years,7.304050309,A2,10 years,credit_card,678.716899,Individual,0
35,1635.98505,3 years,7.938720744,A2,3 years,debt_consolidation,721.2080867,Individual,1
36,1108.914897,3 years,13.87861324,C4,8 years,small_business,679.1463983,Individual,0
37,1563.736951,3 years,7.051022597,F5,1 year,credit_card,714.6139314,Individual,0
38,1180.972912,3 years,10.57679369,B1,7 years,debt_consolidation,660.8961357,Individual,1
39,1154.275822,3 years,13.42969098,C2,1 year,debt_consolidation,658.5056701,Individual,0
40,2192.050687,3 years,14.04331849,C2,9 years,debt_consolidation,666.9235406,Joint App,0
41,1542.207107,5 years,25.26318149,E5,0 years,major_purchase,659.0646681,Individual,1
42,991.3628019,3 years,13.47812621,C2,4 years,other,697.542191,Individual,0
43,2253.79483,3 years,10.72311767,B1,10 years,credit_card,761.7354477,Individual,0
44,1077.321032,3 years,7.092051943,A1,10 years,debt_consolidation,716.5247987,Joint App,0
45,726.241347,3 years,13.67427593,A5,9 years,debt_consolidation,667.7872818,Individual,0
46,2274.220128,3 years,11.46914676,B2,3 years,debt_consolidation,681.371217,Individual,0
47,1032.51174,3 years,11.10295274,B1,1 year,credit_card,657.049349,Individual,0
48,2352.107363,3 years,10.46797182,C4,2 years,credit_card,699.3296041,Individual,0
49,998.9868995,3 years,18.53267363,C4,1 year,other,659.2367512,Individual,0
50,2367.29986,3 years,11.34134735,B2,10 years,debt_consolidation,711.9738511,Individual,0
51,1573.219924,3 years,11.31519125,B3,1 year,credit_card,661.2622322,Individual,0
52,1073.77694,3 years,17.338688,C1,6 years,debt_consolidation,659.1768065,Joint App,0
53,1167.01219,3 years,14.19744385,C2,0 years,debt_consolidation,679.8170064,Individual,0
54,1165.779577,3 years,10.83293965,B5,10 years,debt_consolidation,677.0372905,Individual,0
55,1096.254103,5 years,13.60194177,C2,0 years,debt_consolidation,679.3110424,Individual,0
56,3455.015126,5 years,14.2628707,C3,10 years,debt_consolidation,678.8438136,Individual,1
57,1146.642197,3 years,11.06084177,B1,0 years,debt_consolidation,656.4836709,Individual,1
58,1119.876915,3 years,7.466342834,A2,9 years,credit_card,658.9272364,Individual,0
59,697.9560314,3 years,13.31663277,A4,9 years,other,710.4215034,Individual,0
60,3128.082122,3 years,10.68040752,D3,6 years,debt_consolidation,664.3223521,Individual,0
61,620.1690783,3 years,11.44399299,B1,0 years,other,762.8460874,Individual,0
62,1062.543596,5 years,23.85447633,E4,3 years,credit_card,658.4583667,Individual,0
63,1160.54184,3 years,14.66700363,C2,2 years,debt_consolidation,656.3294258,Individual,0
64,1140.348596,5 years,10.93837176,B4,2 years,debt_consolidation,657.1317983,Individual,1
65,1408.805284,3 years,18.35228421,C5,6 years,house,678.9487781,Individual,0
66,2418.220278,5 years,17.26847367,D2,10 years,other,680.3900939,Joint App,0
67,2196.466965,5 years,23.30841694,D4,6 years,debt_consolidation,659.2941672,Individual,1
68,2341.519927,3 years,16.85906232,D1,10 years,debt_consolidation,681.086036,Individual,0
69,1049.8502,3 years,7.648008198,A4,10 years,debt_consolidation,711.6447544,Individual,0
70,664.226258,3 years,11.36362797,B3,1 year,credit_card,678.6560793,Individual,0
71,1117.799949,3 years,6.537785428,A1,4 years,credit_card,710.8099653,Joint App,0
72,1123.803862,3 years,17.65345175,D1,1 year,debt_consolidation,658.2792104,Individual,0
73,1115.984511,3 years,13.11324355,C4,7 years,debt_consolidation,681.0598103,Individual,0
74,1486.032734,3 years,19.2507822,D3,2 years,major_purchase,681.4986673,Individual,0
75,1159.240749,3 years,10.41820786,B4,7 years,credit_card,682.4839599,Joint App,0
76,1524.597525,5 years,13.50389418,C4,0 years,home_improvement,699.8364609,Individual,0
77,1099.924578,3 years,8.080074334,A5,5 years,debt_consolidation,709.0664373,Individual,0
78,2348.202333,3 years,10.21023696,B2,0 years,debt_consolidation,792.5312049,Individual,0
79,2325.335097,3 years,22.11147691,D3,3 years,debt_consolidation,658.2222427,Individual,0
80,2274.472996,3 years,6.466637364,A2,10 years,debt_consolidation,722.8185262,Individual,0
81,1161.33437,3 years,19.32507309,C5,9 years,small_business,659.9182347,Individual,0
82,1102.015778,3 years,8.07204812,A1,7 years,debt_consolidation,712.7647029,Individual,1
83,2352.702853,3 years,10.85315236,B3,0 years,credit_card,778.1592674,Joint App,0
84,1120.603939,3 years,6.549270774,A2,1 year,credit_card,720.6152815,Individual,0
85,533.1210928,3 years,17.93820571,C4,6 years,debt_consolidation,662.8522729,Individual,0
86,501.3918763,3 years,18.71677049,D4,10 years,credit_card,683.2847866,Individual,0
87,2417.93458,3 years,14.0373436,B3,10 years,debt_consolidation,681.9752332,Individual,0
88,2470.534764,5 years,10.26263376,B1,10 years,debt_consolidation,712.0156,Individual,0
89,594.9557286,3 years,13.05503536,C2,7 years,debt_consolidation,658.4837194,Individual,0
90,1032.221965,3 years,6.531746433,C4,3 years,credit_card,680.3289616,Individual,0
91,2386.511098,5 years,24.94377358,E4,2 years,debt_consolidation,679.7114484,Individual,1
92,1039.70185,5 years,23.96490358,D3,8 years,small_business,660.8581385,Individual,0
93,524.767873,3 years,18.8218381,C5,6 years,house,679.4054729,Individual,0
94,1071.306594,3 years,17.7960739,D4,2 years,debt_consolidation,657.7019592,Individual,0
95,1055.749696,3 years,8.322568618,A5,0 years,debt_consolidation,712.2146796,Individual,0
96,700.8808976,3 years,8.176018339,A2,2 years,debt_consolidation,659.277514,Individual,0
97,3562.639239,3 years,17.71004583,D3,6 years,credit_card,697.8314039,Individual,0
98,1586.943939,5 years,14.03915571,B5,10 years,debt_consolidation,683.9995209,Individual,1
99,2321.361542,5 years,10.85929538,B3,0 years,credit_card,677.8605549,Joint App,0
100,2111.904412,5 years,18.64630054,D4,10 years,credit_card,669.7586171,Individual,0
101,1222.857893,3 years,11.14175206,B2,2 years,debt_consolidation,661.9845498,Individual,0
102,1167.115439,3 years,12.98973605,C1,2 years,debt_consolidation,656.5802272,Individual,0
103,1165.300986,5 years,25.88212023,D3,10 years,debt_consolidation,658.4980902,Individual,0
104,2333.205596,3 years,5.747107364,A1,10 years,debt_consolidation,718.6334182,Individual,0
105,1149.061681,3 years,12.97468237,C1,1 year,home_improvement,659.1403911,Individual,0
106,671.7346428,3 years,18.23313398,D1,10 years,credit_card,658.8520436,Individual,0
107,2363.609263,5 years,25.48630291,C2,0 years,debt_consolidation,678.992609,Individual,0
108,524.2672671,3 years,13.32473628,C4,0 years,debt_consolidation,659.7293881,Individual,1
109,2238.189295,3 years,5.933245589,A1,1 year,debt_consolidation,726.669793,Individual,0
110,2069.499438,3 years,14.23672388,C4,9 years,credit_card,656.0438579,Individual,0
111,1561.941744,3 years,14.61456407,C2,0 years,debt_consolidation,716.0127383,Joint App,0
112,2339.014773,3 years,10.14186885,B3,0 years,debt_consolidation,680.0675818,Joint App,0
113,3450.29372,5 years,10.76737439,A1,0 years,debt_consolidation,713.6953382,Individual,1
114,1053.669714,3 years,17.91982204,C5,6 years,credit_card,712.5570587,Joint App,0
115,1518.149078,3 years,14.27800862,C2,6 years,debt_consolidation,676.1632449,Individual,1
116,624.4439904,3 years,7.502956205,A3,2 years,medical,710.3759774,Individual,0
117,1173.156706,5 years,26.06482571,E2,4 years,debt_consolidation,658.3136326,Individual,0
118,2173.688301,5 years,22.97472463,C4,5 years,debt_consolidation,697.2605752,Individual,0
119,1620.909196,5 years,22.37793449,E4,2 years,credit_card,659.7569983,Individual,0
120,620.2106409,3 years,8.411560045,A5,3 years,other,656.2812185,Individual,0
121,1125.14614,3 years,12.68650185,C2,0 years,debt_consolidation,664.2127679,Joint App,0
122,1107.492835,5 years,23.66695078,A3,4 years,debt_consolidation,660.2704936,Individual,0
123,2271.494395,5 years,19.07685808,D4,2 years,debt_consolidation,681.9224566,Individual,0
124,657.5798716,3 years,19.13501764,D3,10 years,car,656.787243,Individual,0
125,1074.570925,3 years,7.810936928,A2,9 years,debt_consolidation,656.1315159,Individual,0
126,1148.734298,3 years,13.56171997,B4,8 years,credit_card,679.8175789,Individual,1
127,1186.177939,3 years,14.50283947,C3,5 years,debt_consolidation,660.2471397,Individual,0
128,3359.261417,3 years,18.17303582,D3,8 years,small_business,657.9518685,Individual,0
129,1576.159637,5 years,10.56414794,B1,10 years,credit_card,701.263174,Individual,0
130,1548.276034,3 years,11.45826892,B3,7 years,debt_consolidation,679.7896684,Individual,0
131,1005.918586,3 years,5.901985287,A3,6 years,house,718.2635377,Individual,0
132,2478.92823,3 years,8.267206474,A5,7 years,debt_consolidation,680.2565182,Individual,0
133,1147.703291,3 years,14.70165705,C2,10 years,debt_consolidation,663.5647988,Individual,0
134,2129.195647,3 years,7.335166409,A4,7 years,debt_consolidation,722.8399411,Individual,0
135,1662.725598,3 years,25.60244408,B1,10 years,credit_card,658.6766104,Individual,1
136,511.0075597,3 years,6.931092177,B2,1 year,home_improvement,731.6068602,Individual,0
137,2378.760797,3 years,11.29901304,B2,10 years,credit_card,682.4906277,Joint App,0
138,2253.583651,5 years,14.24410786,C4,2 years,debt_consolidation,700.7072029,Individual,1
139,1118.100105,3 years,11.62692178,B5,8 years,credit_card,710.3434783,Individual,0
140,2384.161708,3 years,14.84295286,C2,3 years,credit_card,681.1986643,Individual,0
141,1118.240771,3 years,13.41306468,B4,10 years,debt_consolidation,659.4681973,Individual,0
142,1642.814212,3 years,13.44908668,C4,2 years,debt_consolidation,678.0477499,Individual,0
143,723.3740265,3 years,14.8880516,E2,0 years,medical,676.6086289,Individual,1
144,979.1524548,3 years,14.58472168,C4,5 years,credit_card,657.0580945,Individual,1
145,1644.973552,5 years,20.65617197,D4,2 years,debt_consolidation,658.9899936,Individual,0
146,2249.899855,3 years,10.43299208,C4,3 years,debt_consolidation,711.640086,Individual,0
147,2310.654071,3 years,10.47449787,B1,0 years,other,711.6890404,Individual,0
148,1062.945811,3 years,13.20834796,C4,0 years,credit_card,656.2297036,Individual,0
149,1079.159394,3 years,13.55052574,C1,5 years,debt_consolidation,664.7672091,Individual,0
150,471.8703394,3 years,6.146330892,A2,8 years,debt_consolidation,726.16652,Individual,0
151,1144.304392,3 years,24.09135462,E4,2 years,debt_consolidation,658.5952948,Individual,1
152,1642.739678,5 years,11.30630701,C1,6 years,debt_consolidation,680.4897789,Individual,0
153,2107.248265,5 years,18.79679687,D3,3 years,credit_card,657.2353886,Joint App,0
154,661.2974443,3 years,10.7853583,B3,10 years,home_improvement,786.3986796,Individual,0
155,2530.154356,3 years,14.77298487,C2,9 years,debt_consolidation,679.3808055,Individual,0
156,1160.072143,3 years,17.9072536,D1,9 years,credit_card,656.5471846,Individual,0
157,3322.198676,3 years,12.83117752,C1,3 years,debt_consolidation,665.7819651,Individual,0
158,1629.430077,5 years,24.47023071,D3,7 years,debt_consolidation,679.284549,Individual,1
159,1185.861116,3 years,14.00460563,C1,0 years,debt_consolidation,657.5091359,Individual,0
160,1704.403434,3 years,17.61642057,D1,9 years,debt_consolidation,657.5136003,Individual,0
161,2354.972845,3 years,18.16637444,D1,8 years,small_business,677.3526747,Individual,0
162,3492.471419,5 years,19.10943533,D4,6 years,debt_consolidation,659.6542923,Individual,1
163,1086.298668,3 years,24.93592858,D5,10 years,credit_card,658.9702758,Individual,0
164,1673.7859,5 years,7.373324223,A5,2 years,debt_consolidation,712.6587336,Individual,0
165,3271.727674,3 years,14.59558501,C3,5 years,debt_consolidation,709.0155039,Individual,0
166,1147.747105,3 years,13.81470533,B3,10 years,other,657.8105594,Individual,0
167,1155.065853,3 years,13.43350879,C2,1 year,credit_card,664.0002504,Individual,0
168,2416.119194,3 years,10.54654735,B2,10 years,other,688.6201423,Joint App,0
169,2276.433191,3 years,12.08162066,B3,10 years,home_improvement,682.5397935,Individual,0
170,1074.386559,3 years,18.98341973,D5,8 years,debt_consolidation,656.4502064,Individual,0
171,1073.154043,3 years,22.98622103,B2,10 years,other,658.0328487,Individual,1
172,3314.459886,3 years,7.273749645,A3,5 years,debt_consolidation,719.7050957,Individual,0
173,1117.369419,3 years,13.15749824,C2,5 years,debt_consolidation,660.8740191,Individual,1
174,2274.836616,5 years,26.54159214,D4,10 years,major_purchase,659.3365518,Individual,1
175,2430.436169,3 years,10.97620641,A5,7 years,debt_consolidation,658.1019155,Individual,0
176,1169.26283,3 years,17.42308395,C1,6 years,debt_consolidation,666.1661419,Individual,0
177,2281.66879,3 years,22.73308143,D3,0 years,medical,680.127995,Individual,1
178,1159.854327,5 years,17.69855289,C4,2 years,debt_consolidation,679.2569268,Individual,0
179,1127.371914,3 years,13.25616197,C2,6 years,debt_consolidation,659.5312684,Joint App,1
180,1099.720335,3 years,13.3007173,C2,6 years,other,658.7522082,Individual,0
181,2230.575295,3 years,11.03889503,D3,7 years,debt_consolidation,681.2319733,Individual,1
182,1156.336778,3 years,7.914778499,A2,9 years,credit_card,726.4609843,Individual,0
183,2362.597971,5 years,15.079588,C4,10 years,credit_card,665.7200697,Individual,0
184,1084.77613,3 years,12.72702104,C1,0 years,credit_card,682.5454699,Individual,0
185,3320.244507,3 years,7.840469782,B1,10 years,debt_consolidation,713.2325993,Individual,0
186,1567.978929,3 years,17.84853815,D3,9 years,debt_consolidation,657.500872,Individual,0
187,1101.503949,3 years,13.33875576,C3,10 years,credit_card,714.626097,Individual,0
188,1699.379327,3 years,8.029704486,B1,0 years,credit_card,679.919667,Individual,0
189,679.3941442,3 years,14.78541513,C4,8 years,debt_consolidation,657.9823573,Individual,0
190,1557.012094,3 years,11.12985567,B3,6 years,debt_consolidation,682.3916392,Individual,0
191,3080.390003,5 years,19.27080194,D4,6 years,debt_consolidation,662.9131083,Individual,1
192,2311.442696,5 years,18.47248713,D3,10 years,major_purchase,658.5471815,Individual,1
193,1501.794674,5 years,19.41628936,D4,10 years,debt_consolidation,658.0956262,Individual,1
194,1057.746537,3 years,7.787253428,A4,10 years,debt_consolidation,724.1733387,Individual,0
195,1097.189917,3 years,11.40440637,B5,1 year,debt_consolidation,681.3848419,Individual,0
196,1506.092092,3 years,19.31413328,A5,0 years,credit_card,698.3540796,Joint App,0
197,1097.261627,3 years,6.459311566,A1,10 years,debt_consolidation,720.6141328,Individual,0
198,1207.194185,5 years,17.26540194,D2,9 years,debt_consolidation,659.4169302,Individual,0
199,1182.88127,3 years,8.739742091,A5,0 years,debt_consolidation,674.4257219,Individual,0
200,1055.536924,3 years,25.02920018,A3,5 years,major_purchase,656.9281666,Individual,1
201,1011.125258,3 years,17.7496275,C5,6 years,house,677.8340243,Individual,0
202,2457.601448,5 years,21.01414003,D4,0 years,medical,681.407403,Individual,0
203,2365.419612,3 years,10.75520819,B3,10 years,credit_card,699.3118403,Joint App,0
204,636.56937,3 years,18.24964731,D3,2 years,debt_consolidation,719.4705025,Individual,0
205,2273.15826,5 years,13.79552232,B3,4 years,debt_consolidation,660.7122523,Individual,0
206,519.7580853,5 years,18.24081598,D4,0 years,medical,656.7747906,Individual,1
207,1734.772126,5 years,10.83809327,B3,10 years,debt_consolidation,714.9513135,Individual,0
208,996.0943662,3 years,14.39879843,C4,1 year,debt_consolidation,697.9263822,Individual,0
209,553.3042874,3 years,13.18977321,C4,2 years,debt_consolidation,657.801194,Individual,0
210,2198.170169,3 years,17.52305181,C5,0 years,debt_consolidation,676.3051424,Individual,0
211,3056.128033,5 years,25.20278024,E4,4 years,credit_card,661.9045388,Individual,0
212,1049.041016,3 years,17.51134473,C5,7 years,credit_card,655.6992956,Individual,0
213,1022.301751,3 years,8.668382375,A5,10 years,home_improvement,711.8266493,Individual,0
214,1490.213026,3 years,18.66481611,D3,10 years,debt_consolidation,678.93022,Individual,1
215,2141.35049,3 years,17.78501709,B3,10 years,other,678.9853536,Individual,0
216,1606.655451,3 years,7.859142784,B2,2 years,debt_consolidation,661.0065796,Individual,0
217,687.4749173,3 years,7.587799288,A2,1 year,debt_consolidation,777.7757146,Individual,0
218,2339.13325,5 years,23.48732851,D5,10 years,debt_consolidation,659.320677,Individual,0
219,2424.103123,3 years,10.89533534,C4,0 years,credit_card,676.9637831,Individual,1
220,574.9586278,3 years,18.33583198,C5,6 years,house,656.7791247,Individual,1
221,980.6869212,3 years,10.1686573,B4,0 years,credit_card,700.6489382,Joint App,0
222,1686.237465,3 years,6.23651682,A2,10 years,debt_consolidation,681.9231374,Individual,0
223,1198.865047,3 years,13.99257447,B4,7 years,debt_consolidation,665.029519,Individual,1
224,1208.57564,3 years,10.7780069,B3,10 years,other,678.6175741,Individual,0
225,1127.628508,3 years,13.45331312,C4,7 years,debt_consolidation,659.5760997,Individual,0
226,1153.522968,3 years,13.58446215,C2,7 years,credit_card,664.6547162,Individual,0
227,1126.648902,3 years,13.79639042,B5,9 years,debt_consolidation,656.8677618,Individual,0
228,1031.109271,3 years,18.39669756,C2,5 years,debt_consolidation,656.998885,Individual,0
229,2371.888682,3 years,10.87010171,B3,10 years,credit_card,683.3445449,Individual,0
230,1552.190635,3 years,18.26088445,D4,0 years,debt_consolidation,656.5024429,Joint App,0
231,1117.330043,3 years,13.4697295,A4,7 years,debt_consolidation,677.2968722,Individual,0
232,1003.196492,3 years,14.10318714,C4,7 years,debt_consolidation,691.9145838,Individual,0
233,1610.14907,3 years,14.27055082,C5,2 years,debt_consolidation,656.4299857,Individual,0
234,1292.315173,5 years,14.36636323,C2,2 years,debt_consolidation,657.3286124,Individual,0
235,1608.110508,5 years,18.3315148,D4,10 years,debt_consolidation,656.6051853,Individual,1
236,1449.475655,3 years,6.113815305,A4,8 years,debt_consolidation,667.3153274,Individual,0
237,1102.452361,3 years,8.602753915,A5,7 years,debt_consolidation,693.1034262,Individual,0
238,1241.187276,3 years,14.40712903,B3,8 years,credit_card,677.6012406,Individual,0
239,469.1562708,3 years,18.67999719,D1,1 year,debt_consolidation,657.3813386,Individual,0
240,1166.870273,3 years,12.0133568,B3,10 years,credit_card,680.3611463,Individual,0
241,1114.494814,3 years,7.07682121,A2,9 years,debt_consolidation,733.8485083,Individual,0
242,2447.704237,5 years,25.78982247,D5,0 years,debt_consolidation,709.1400059,Individual,0
243,1142.338125,3 years,18.01446089,D1,6 years,debt_consolidation,656.3518079,Individual,0
244,1213.694466,5 years,13.37473791,D5,3 years,debt_consolidation,787.4104654,Individual,0
245,610.3042098,3 years,7.789889286,A2,1 year,credit_card,659.5435708,Individual,0
246,599.2778772,3 years,10.99752708,B2,6 years,other,698.8349574,Individual,0
247,2441.617426,5 years,17.60230438,C3,6 years,debt_consolidation,708.8704887,Individual,0
248,1135.226339,3 years,15.05491059,C2,5 years,debt_consolidation,657.9845759,Individual,0
249,3232.734241,3 years,14.97940165,C3,7 years,other,718.2224504,Individual,0
250,1119.758883,3 years,7.454070481,A2,10 years,debt_consolidation,660.7273801,Individual,0
251,1033.837465,3 years,7.306918869,B1,10 years,other,788.0982456,Joint App,0
252,1138.382359,3 years,16.81149184,A4,10 years,debt_consolidation,656.4057205,Individual,0
253,562.7868085,3 years,7.432638201,C5,6 years,house,715.3494851,Individual,0
254,3309.362717,3 years,7.890367667,B1,10 years,debt_consolidation,678.3046111,Individual,0
255,638.4515721,3 years,17.63682567,D3,8 years,small_business,711.8149637,Individual,0
256,1043.008718,3 years,14.68867709,C4,10 years,debt_consolidation,680.1644571,Individual,0
257,1532.066956,5 years,19.44736326,D4,3 years,major_purchase,658.1540066,Individual,1
258,2299.319734,5 years,23.34857879,B5,10 years,credit_card,659.7510864,Individual,0
259,1571.604946,3 years,18.88479229,D3,0 years,credit_card,655.8637273,Individual,1
260,496.9234802,3 years,18.30297779,D4,7 years,credit_card,658.7324769,Joint App,0
261,1139.66741,5 years,10.16383341,B2,10 years,credit_card,770.2902494,Individual,0
262,1198.295919,3 years,8.228378095,A3,9 years,debt_consolidation,658.6536913,Individual,0
263,2097.643482,3 years,21.84644701,D5,5 years,debt_consolidation,669.9323417,Joint App,0
264,2300.65399,3 years,19.0189061,C5,10 years,debt_consolidation,676.8416816,Individual,0
265,3558.708323,5 years,22.76235164,D5,10 years,debt_consolidation,729.3747985,Individual,0
266,1092.799421,3 years,18.09418611,D3,1 year,credit_card,656.4207691,Individual,0
267,1611.936876,5 years,22.55773368,D4,7 years,debt_consolidation,663.8625865,Individual,1
268,1696.45722,5 years,23.50768833,B4,3 years,debt_consolidation,660.9758906,Joint App,0
269,1105.810598,3 years,13.68677032,B4,6 years,debt_consolidation,658.4849693,Individual,0
270,2419.855594,5 years,25.82741026,A3,10 years,debt_consolidation,658.7793774,Individual,1
271,1078.486956,3 years,18.48880524,D4,10 years,other,659.0677109,Individual,0
272,652.0936279,3 years,10.50307271,B1,8 years,small_business,656.0788772,Individual,0
273,1114.67829,3 years,10.74686809,B5,1 year,debt_consolidation,717.3159488,Individual,0
274,1190.263322,3 years,7.492297341,A3,5 years,debt_consolidation,780.1552972,Individual,0
275,653.0674006,3 years,8.951564719,B1,10 years,credit_card,656.2667319,Individual,0
276,2356.456353,3 years,10.56801105,B3,10 years,debt_consolidation,759.8907471,Joint App,0
277,2251.717162,3 years,18.18967539,D1,10 years,other,658.1529344,Joint App,0
278,3072.113391,3 years,7.72628111,A3,10 years,debt_consolidation,795.4269156,Individual,0
279,1197.339855,3 years,13.50022317,B4,10 years,home_improvement,729.9226792,Individual,0
280,1069.493559,3 years,8.08673019,A4,10 years,debt_consolidation,711.5052489,Individual,0
281,1152.742783,3 years,11.9438437,B3,7 years,credit_card,678.512708,Individual,0
282,3276.329816,5 years,25.26606624,D4,5 years,debt_consolidation,661.7959921,Individual,1
283,1584.066673,3 years,16.93286493,D5,6 years,debt_consolidation,662.3872091,Individual,0
284,1676.006976,3 years,11.35065168,B3,0 years,debt_consolidation,657.3256211,Individual,0
285,1123.942446,5 years,22.78463048,B1,0 years,credit_card,675.105482,Individual,0
286,3412.524861,3 years,7.986958136,A5,10 years,debt_consolidation,677.197363,Individual,0
287,3571.64803,3 years,6.452014391,A1,0 years,credit_card,787.0816623,Joint App,0
288,1121.830348,3 years,6.078231458,A2,7 years,debt_consolidation,726.4159858,Individual,0
289,2284.224348,3 years,11.30965547,B3,2 years,credit_card,767.2781472,Individual,0
290,1532.362701,5 years,22.84167043,D5,2 years,debt_consolidation,659.0757522,Individual,1
291,1152.032531,3 years,14.64434803,C4,4 years,debt_consolidation,658.5313569,Joint App,0
292,2439.23265,3 years,11.61425048,D5,3 years,debt_consolidation,678.3580427,Individual,0
293,1073.641075,3 years,18.06820128,C5,6 years,house,672.60223,Individual,1
294,1073.361018,3 years,6.836558676,A2,10 years,debt_consolidation,730.9055665,Individual,0
295,2208.167287,5 years,18.22151106,D5,2 years,debt_consolidation,682.366785,Individual,0
296,1723.607437,5 years,23.19295247,D3,10 years,debt_consolidation,662.5525911,Individual,0
297,941.9764585,3 years,10.47837099,B3,6 years,house,734.2312655,Individual,0
298,1197.115717,3 years,13.47745419,C2,0 years,debt_consolidation,679.8829106,Individual,1
299,1142.295754,3 years,17.15463226,D1,2 years,credit_card,660.3434138,Individual,0
300,629.2992044,3 years,15.05471212,C4,0 years,home_improvement,657.7755588,Joint App,0
301,2313.36665,3 years,21.99045524,A2,9 years,debt_consolidation,692.9644009,Individual,0
302,464.0231197,3 years,18.61520487,C5,6 years,house,656.3898172,Individual,1
303,1163.331813,3 years,11.07964837,B3,10 years,car,718.1075106,Individual,0
304,720.2806943,3 years,11.42109749,B4,10 years,car,680.9680114,Individual,1
305,3205.813058,5 years,19.15687444,B3,7 years,credit_card,683.835369,Individual,0
306,1555.209524,3 years,14.31381819,C4,7 years,debt_consolidation,714.7366552,Individual,0
307,1626.936676,5 years,24.38974254,C4,10 years,debt_consolidation,658.4209585,Individual,1
308,2408.159998,3 years,13.48481317,C2,0 years,debt_consolidation,679.8256196,Joint App,0
309,593.0046578,3 years,17.55158341,C4,0 years,debt_consolidation,657.5066749,Individual,0
310,1627.848543,3 years,11.07266138,B5,0 years,debt_consolidation,680.2798584,Individual,0
311,1191.216684,3 years,13.61777176,C2,10 years,debt_consolidation,679.0579006,Individual,1
312,1126.541343,5 years,23.45135651,D4,0 years,credit_card,657.1886385,Individual,0
313,1121.39281,3 years,11.32458149,B3,3 years,debt_consolidation,657.9204977,Individual,0
314,2147.350534,5 years,19.66617936,E2,10 years,debt_consolidation,659.2635635,Individual,0
315,1602.013413,3 years,24.86576612,D3,6 years,credit_card,677.8457761,Individual,0
316,3356.010216,3 years,14.3518354,C4,10 years,debt_consolidation,666.1005402,Individual,1
317,1553.690592,3 years,6.462220676,A4,0 years,credit_card,676.9592846,Individual,0
318,1112.39225,3 years,18.6362272,D3,6 years,debt_consolidation,659.4309398,Individual,1
319,1578.8443,5 years,25.11122083,D3,2 years,debt_consolidation,657.8353928,Individual,1
